"Island","$R^2$","$P$",""
"Abaco",0.907592012341002,"< 0.0001","***"
"Bimini",0.999348891944193,"< 0.0001","***"
"Cayman Brac",0.987345916556766,"< 0.0001","***"
"Eleuthera",0.963089295467168,"< 0.0001","***"
"Little Cayman",0.965176966983008,"< 0.0001","***"
"Long Island",0.986194187545684,"< 0.0001","***"
"North Andros",0.993512625092864,"< 0.0001","***"
"Ragged Island",0.978339963116425,"< 0.0001","***"
"South Andros",0.979228684919889,"< 0.0001","***"
"Archipelago",0.976171185405609,"< 0.0001","***"
