"island","PC1","PC2","PC3","PC4","total"
"Abaco",0.400259861595432,0.279112814172478,0.146962001161513,0.0793470765209054,0.905681753450329
"Bimini",0.502092785608659,0.208295657973496,0.16036081911254,0.0505210094421081,0.921270272136803
"Cayman Brac",0.438290860905588,0.189594959361983,0.155326843331742,0.105030111358958,0.888242774958271
"Eleuthera",0.489850613848239,0.232598708874898,0.137755282677976,0.0659939993316523,0.926198604732765
"Little Cayman",0.44125091864676,0.211878699648134,0.176032391551739,0.0781099311897551,0.907271941036388
"Long Island",0.515355308815635,0.204898750887088,0.161095081541624,0.043416382818473,0.92476552406282
"North Andros",0.560250291386911,0.170479581093964,0.152086373250044,0.0543812652680794,0.937197510998998
"Ragged Island",0.482974317195311,0.226269199295247,0.126619704699078,0.0715696783215437,0.907432899511179
"South Andros",0.487900805624928,0.246653893702095,0.146376327292026,0.066604708011195,0.947535734630245
"Archipelago",0.473228852065907,0.196746008688416,0.164287416605417,0.0788139421556549,0.913076219515395
