"island","variable","K2","df","pvalue","signif"
"Abaco","PC1",1.79657138315354,2,0.407267243298766,""
"Abaco","PC2",1.10248967500916,2,0.576232048459432,""
"Abaco","PC3",10.672579316362,2,0.00481369808232137,"**"
"Abaco","PC4",2.91998212560242,2,0.232238350280787,""
"Bimini","PC1",5.41068515004255,2,0.0668474196674033,""
"Bimini","PC2",9.51986603474784,2,0.00856618316372543,"**"
"Bimini","PC3",3.16179878655603,2,0.20578992886863,""
"Bimini","PC4",3.60209353263272,2,0.1651259494423,""
"Cayman Brac","PC1",9.381278999396,2,0.00918081315131473,"**"
"Cayman Brac","PC2",0.144988153749317,2,0.930071255572587,""
"Cayman Brac","PC3",11.6892418028586,2,0.00289543215885087,"**"
"Cayman Brac","PC4",0.91849780607933,2,0.631757978847041,""
"Eleuthera","PC1",2.62194678150729,2,0.269557543821033,""
"Eleuthera","PC2",8.87080869151919,2,0.0118502733310029,"*"
"Eleuthera","PC3",12.1537291094899,2,0.00229536236486759,"**"
"Eleuthera","PC4",10.3424553624211,2,0.00567759426303196,"**"
"Little Cayman","PC1",2.5716542049597,2,0.276421859850241,""
"Little Cayman","PC2",12.4854288076265,2,0.00194457000433971,"**"
"Little Cayman","PC3",1.37180768971166,2,0.503634816056536,""
"Little Cayman","PC4",2.57963581984323,2,0.275320911732047,""
"Long Island","PC1",7.02130762191709,2,0.0298773738952469,"*"
"Long Island","PC2",3.98617778659101,2,0.136273839314831,""
"Long Island","PC3",5.67400759766968,2,0.0586009835251233,""
"Long Island","PC4",1.39217247626611,2,0.498532628614208,""
"North Andros","PC1",5.94818837462468,2,0.0510936943659962,""
"North Andros","PC2",2.75132422851833,2,0.252672242512697,""
"North Andros","PC3",6.36146886493748,2,0.0415551244785384,"*"
"North Andros","PC4",0.541902068647982,2,0.762653839351601,""
"South Andros","PC1",6.37647345542224,2,0.0412445322001439,"*"
"South Andros","PC2",4.92361017747714,2,0.0852808724040263,""
"South Andros","PC3",12.3336169089967,2,0.00209792093733111,"**"
"South Andros","PC4",4.26405173102876,2,0.118596789174294,""
