"island","habitat","HZ","pvalue","signif"
"Abaco","coastal",1.09927101638443,0.00269904128356213,"**"
"Abaco","coppice",1.07418288650207,0.00224208691775585,"**"
"Abaco","mangrove",1.06271005778221,0.00230507207877506,"**"
"Bimini","coastal",1.28128388173604,5.22905236304272e-05,"***"
"Bimini","coppice",0.85029107129747,0.0481766305140457,"*"
"Bimini","mangrove",1.19134529147177,0.000105615953253868,"***"
"Cayman Brac","coastal",0.646824269788171,0.53111712606613,""
"Cayman Brac","coppice",0.700736329868841,0.393951926364043,""
"Cayman Brac","mangrove",0.657024907791421,0.535672810369105,""
"Eleuthera","coastal",1.61362776145883,1.65448598155038e-08,"***"
"Eleuthera","coppice",1.48133195976069,3.79114002413417e-07,"***"
"Eleuthera","mangrove",0.728746798417834,0.142259295036042,""
"Little Cayman","coastal",0.624170738798042,0.659894352802104,""
"Little Cayman","coppice",0.637750353342,0.48667907861751,""
"Little Cayman","mangrove",0.872866975645481,0.0412541985209225,"*"
"Long Island","coastal",0.824391390937654,0.146814721195274,""
"Long Island","coppice",0.923498547683018,0.0149972263999109,"*"
"Long Island","mangrove",0.772812406868926,0.12890729743132,""
"North Andros","coastal",0.658096653007708,0.317359218447019,""
"North Andros","coppice",0.763302768531508,0.0900254414673893,""
"North Andros","mangrove",0.668133835488023,0.318546611668629,""
"Ragged Island","coastal",0.755938675603868,0.226829958581554,""
"Ragged Island","coppice",0.797418584702608,0.111531211688811,""
"Ragged Island","mangrove",0.542498826540396,0.902201309883937,""
"South Andros","coastal",0.659896665994698,0.345131178281437,""
"South Andros","coppice",0.658725130142348,0.315376639710427,""
"South Andros","mangrove",0.911195494440018,0.0144184859267656,"*"
