"island","habitat","variable","W","pvalue","signif"
"Abaco","coastal","PC1",0.953662109239043,0.0941486751699272,""
"Abaco","coastal","PC2",0.926708677275064,0.0112471667735246,"*"
"Abaco","coastal","PC3",0.972775766975501,0.422807222098136,""
"Abaco","coastal","PC4",0.954729313688799,0.102662454745621,""
"Abaco","coppice","PC1",0.97042846649595,0.677578268892068,""
"Abaco","coppice","PC2",0.815662364489332,0.000537194837050528,"***"
"Abaco","coppice","PC3",0.930022016614328,0.0975971600596892,""
"Abaco","coppice","PC4",0.940932354133971,0.171115720267884,""
"Abaco","mangrove","PC1",0.881431958659979,0.0155290303556169,"*"
"Abaco","mangrove","PC2",0.869211133099078,0.00927012907130888,"**"
"Abaco","mangrove","PC3",0.986486732413222,0.987270149579323,""
"Abaco","mangrove","PC4",0.93859203106336,0.204351408418433,""
"Bimini","coastal","PC1",0.821188509067504,2.90955605526248e-05,"***"
"Bimini","coastal","PC2",0.959686879163059,0.185432493815995,""
"Bimini","coastal","PC3",0.855785699172157,0.00017923510785855,"***"
"Bimini","coastal","PC4",0.945017694849843,0.0610631043408033,""
"Bimini","coppice","PC1",0.911339823990395,0.164804829799765,""
"Bimini","coppice","PC2",0.958158139454332,0.692671278970975,""
"Bimini","coppice","PC3",0.953399459730698,0.614618236818304,""
"Bimini","coppice","PC4",0.97143659335193,0.895267082650755,""
"Bimini","mangrove","PC1",0.883559376763217,0.0536340706257593,""
"Bimini","mangrove","PC2",0.976139268496661,0.936302894885882,""
"Bimini","mangrove","PC3",0.98183037248314,0.980461062971951,""
"Bimini","mangrove","PC4",0.974934185459776,0.923211809935435,""
"Eleuthera","coastal","PC1",0.909441850022587,0.0461161838690646,"*"
"Eleuthera","coastal","PC2",0.885900674928518,0.0156871345077468,"*"
"Eleuthera","coastal","PC3",0.905879684477584,0.0390371871896179,"*"
"Eleuthera","coastal","PC4",0.961933928353141,0.529338789529513,""
"Eleuthera","coppice","PC1",0.92191835359824,0.0566660360129218,""
"Eleuthera","coppice","PC2",0.953847167659053,0.305538650788772,""
"Eleuthera","coppice","PC3",0.781026582680171,0.000111509007822652,"***"
"Eleuthera","coppice","PC4",0.900513572862113,0.01882507787114,"*"
"Little Cayman","mangrove","PC1",0.906555355156356,0.102411776359814,""
"Little Cayman","mangrove","PC2",0.903764128477755,0.0923555103375673,""
"Little Cayman","mangrove","PC3",0.73857511149474,0.000464308167753302,"***"
"Little Cayman","mangrove","PC4",0.972698343253672,0.880194264313092,""
"Long Island","coppice","PC1",0.686451768154011,0.000268416089589983,"***"
"Long Island","coppice","PC2",0.848202098654356,0.020998128601707,"*"
"Long Island","coppice","PC3",0.931359885623106,0.318806377234761,""
"Long Island","coppice","PC4",0.903796259898644,0.128049267935707,""
"South Andros","mangrove","PC1",0.787194654918875,0.00672495972906613,"**"
"South Andros","mangrove","PC2",0.860777556564001,0.0499958420097395,"*"
"South Andros","mangrove","PC3",0.697244470391672,0.000792785149267562,"***"
"South Andros","mangrove","PC4",0.950283120913212,0.641127756774346,""
