"habitat","variable","W","pvalue","signif"
"coastal","PC1",0.917761270718171,5.26144328348622e-09,"***"
"coastal","PC2",0.988817854064195,0.128006854477651,""
"coastal","PC3",0.957678147438835,1.36356086837016e-05,"***"
"coastal","PC4",0.969007319872091,0.000251616959122452,"***"
"coppice","PC1",0.954483962640191,0.00014054410485022,"***"
"coppice","PC2",0.973684615432061,0.00832194828198462,"**"
"coppice","PC3",0.957972268025213,0.000278200127997508,"***"
"coppice","PC4",0.981791653303718,0.0590728498130592,""
"mangrove","PC1",0.925621861049841,2.31493278604991e-06,"***"
"mangrove","PC2",0.963662207618172,0.0014928469636988,"**"
"mangrove","PC3",0.847622069616754,2.9215346272412e-10,"***"
"mangrove","PC4",0.964013336330311,0.00160250101468304,"**"
