island,site1,site2,distance,habitat1,habitat2,variable,W,pvalue
Abaco,26.912775 -77.576286,26.901974 -77.58002,1.25,coppice,coastal,PC3,21,0.3290
Abaco,26.912775 -77.576286,26.104472 -77.1784,97.95,coppice,coastal,PC3,102,0.0004
Abaco,26.31705 -77.003854,26.901974 -77.58002,86.56,coppice,coastal,PC3,51,0.6911
Abaco,26.31705 -77.003854,26.104472 -77.1784,29.31,coppice,coastal,PC3,265,0.0008
Abaco,26.912775 -77.576286,26.325994 -76.996839,86.93,coppice,coastal,PC3,90,0.0148
Abaco,26.31705 -77.003854,26.325994 -76.996839,1.21,coppice,coastal,PC3,209,0.1427
Bimini,25.704172 -79.3002,25.585934 -79.302184,13.10,coppice,coastal,PC3,124,0.0009
Bimini,25.704172 -79.3002,25.705249 -79.301399,0.17,coppice,coastal,PC3,320,0.0006
Cayman Brac,19.72092 -79.78869,19.68784 -79.86265,8.58,coppice,coastal,PC1,70,0.0182
Cayman Brac,19.72092 -79.78869,19.68784 -79.86265,8.58,coppice,coastal,PC3,206,0.0094
Little Cayman,19.69062 -80.06602,19.68647 -80.02047,4.80,coppice,coastal,PC1,44,0.0093
Little Cayman,19.69062 -80.06602,19.68647 -80.02047,4.80,coppice,coastal,PC3,36,0.0027
Long Island,23.429152 -75.188354,23.428201 -75.206269,1.83,coppice,coastal,PC3,92,0.2125
Long Island,23.429152 -75.188354,23.38831 -75.140756,6.64,coppice,coastal,PC3,169,0.0172
Abaco,26.908272 -77.725588,26.901974 -77.58002,14.48,mangrove,coastal,PC2,8,0.7302
Abaco,26.908272 -77.725588,26.104472 -77.1784,104.43,mangrove,coastal,PC2,43,0.5936
Abaco,26.325377 -77.005543,26.901974 -77.58002,85.76,mangrove,coastal,PC2,1,0.0002
Abaco,26.325377 -77.005543,26.104472 -77.1784,29.96,mangrove,coastal,PC2,49,0.0003
Abaco,26.908272 -77.725588,26.325994 -76.996839,97.10,mangrove,coastal,PC2,19,0.1662
Abaco,26.325377 -77.005543,26.325994 -76.996839,0.87,mangrove,coastal,PC2,2,0.0000
Abaco,26.908272 -77.725588,26.901974 -77.58002,14.48,mangrove,coastal,PC3,8,0.7302
Abaco,26.908272 -77.725588,26.104472 -77.1784,104.43,mangrove,coastal,PC3,57,0.0807
Abaco,26.325377 -77.005543,26.901974 -77.58002,85.76,mangrove,coastal,PC3,70,0.0310
Abaco,26.325377 -77.005543,26.104472 -77.1784,29.96,mangrove,coastal,PC3,289,0.0000
Abaco,26.908272 -77.725588,26.325994 -76.996839,97.10,mangrove,coastal,PC3,38,0.9023
Abaco,26.325377 -77.005543,26.325994 -76.996839,0.87,mangrove,coastal,PC3,254,0.0005
Bimini,25.706629 -79.270911,25.585934 -79.302184,13.73,mangrove,coastal,PC1,61,0.4611
Bimini,25.706629 -79.270911,25.705249 -79.301399,3.06,mangrove,coastal,PC1,104,0.0062
Bimini,25.706629 -79.270911,25.585934 -79.302184,13.73,mangrove,coastal,PC2,133,0.0007
Bimini,25.706629 -79.270911,25.705249 -79.301399,3.06,mangrove,coastal,PC2,279,0.0808
Cayman Brac,19.69494 -79.84407,19.68784 -79.86265,2.10,mangrove,coastal,PC2,199,0.0061
Cayman Brac,19.69494 -79.84407,19.68784 -79.86265,2.10,mangrove,coastal,PC3,237,0.0000
Little Cayman,19.69861 -79.98714,19.68647 -80.02047,3.74,mangrove,coastal,PC2,46,0.0008
Little Cayman,19.69861 -79.98714,19.68647 -80.02047,3.74,mangrove,coastal,PC3,21,0.0000
Long Island,23.473987 -75.229859,23.428201 -75.206269,5.61,mangrove,coastal,PC3,91,0.1151
Long Island,23.473987 -75.229859,23.38831 -75.140756,13.15,mangrove,coastal,PC3,168,0.0041
Long Island,23.473987 -75.229859,23.428201 -75.206269,5.61,mangrove,coastal,PC4,104,0.0147
Long Island,23.473987 -75.229859,23.38831 -75.140756,13.15,mangrove,coastal,PC4,144,0.0832
Abaco,26.908272 -77.725588,26.912775 -77.576286,14.84,mangrove,coppice,PC2,13,0.9143
Abaco,26.325377 -77.005543,26.912775 -77.576286,86.41,mangrove,coppice,PC2,7,0.0009
Abaco,26.908272 -77.725588,26.31705 -77.003854,97.25,mangrove,coppice,PC2,29,0.5936
Abaco,26.325377 -77.005543,26.31705 -77.003854,0.94,mangrove,coppice,PC2,34,0.0000
Bimini,25.706629 -79.270911,25.704172 -79.3002,2.95,mangrove,coppice,PC3,34,0.0013
Cayman Brac,19.69494 -79.84407,19.72092 -79.78869,6.48,mangrove,coppice,PC1,255,0.0005
Cayman Brac,19.69494 -79.84407,19.72092 -79.78869,6.48,mangrove,coppice,PC3,252,0.0007
Little Cayman,19.69861 -79.98714,19.69062 -80.06602,8.32,mangrove,coppice,PC2,6,0.0000
