RGR,FieldTag,Specimen,Date,Island,Locale,Habitat,lat,long,Sex,Mass,notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0272,2938580,Y,,Abaco,Cherokee,pineland/2nd growth,26.321921,-77.042545,M,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0273,2938579,Y,,Abaco,Cherokee,pineland/2nd growth,26.321921,-77.042545,M,1.5,no tail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0274,2938578,Y,,Abaco,Cherokee,pineland/2nd growth,26.321921,-77.042545,M,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0275,2938577,Y,,Abaco,Cherokee,pineland/2nd growth,26.321921,-77.042545,F,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0276,2938576,Y,,Abaco,Cherokee,pineland/2nd growth,26.321921,-77.042545,F,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0277,2938575,Y,,Abaco,Cherokee,pineland/2nd growth,26.321921,-77.042545,M,1,juvenile exclude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0278,2938574,Y,,Abaco,Cherokee,pineland/2nd growth,26.321921,-77.042545,F,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0279,2938573,Y,,Abaco,Cherokee,pineland/2nd growth,26.321921,-77.042545,M,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0280,2938572,Y,,Abaco,Cherokee,pineland/2nd growth,26.321921,-77.042545,M,0.9,juvenile exclude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0281,2938571,Y,,Abaco,Cherokee,pineland/2nd growth,26.321921,-77.042545,M,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0282,2938570,Y,,Abaco,Cherokee,pineland/2nd growth,26.321921,-77.042545,M,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0283,2938569,Y,,Abaco,Cherokee,pineland/2nd growth,26.321921,-77.042545,F,0.6,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0284,2938568,Y,,Abaco,Cherokee,pineland/2nd growth,26.321921,-77.042545,F,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0285,2938567,Y,,Abaco,Cherokee,pineland/2nd growth,26.321921,-77.042545,F,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0286,2938566,Y,,Abaco,Cherokee,pineland/2nd growth,26.321921,-77.042545,M,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0287,2938565,Y,,Abaco,Cherokee,pineland/2nd growth,26.321921,-77.042545,M,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0288,2938564,Y,,Abaco,Cherokee,pineland/2nd growth,26.321921,-77.042545,F,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0289,2938563,Y,,Abaco,Little Harbour,coppice,26.31705,-77.003854,M,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0290,2938562,Y,,Abaco,Little Harbour,coppice,26.31705,-77.003854,F,1.2,dewlap photo taken!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0291,2938561,Y,,Abaco,Little Harbour,coppice,26.31705,-77.003854,F,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0292,2938560,Y,,Abaco,Little Harbour,coppice,26.31705,-77.003854,F,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0293,2938559,Y,,Abaco,Little Harbour,coppice,26.31705,-77.003854,F,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0294,2938558,Y,,Abaco,Little Harbour,coppice,26.31705,-77.003854,M,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0295,2938557,Y,,Abaco,Little Harbour,coppice,26.31705,-77.003854,F,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0296,2938556,Y,,Abaco,Little Harbour,coppice,26.31705,-77.003854,F,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0297,2938555,Y,,Abaco,Little Harbour,coastal,26.325994,-76.996839,M,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0298,2938554,Y,,Abaco,Little Harbour,coastal,26.325994,-76.996839,M,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0299,2938552,Y,,Abaco,Little Harbour,coastal,26.325994,-76.996839,F,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0300,2938551,Y,,Abaco,Little Harbour,coastal,26.325994,-76.996839,M,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0301,2938550,Y,,Abaco,Little Harbour,coastal,26.325994,-76.996839,F,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0302,2938549,Y,,Abaco,Little Harbour,coastal,26.325994,-76.996839,F,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0303,2938548,Y,,Abaco,Little Harbour,coastal,26.325994,-76.996839,M,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0304,2938547,Y,,Abaco,Little Harbour,coastal,26.325994,-76.996839,M,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0305,2938546,Y,,Abaco,Little Harbour,coastal,26.325994,-76.996839,M,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0306,2938545,Y,,Abaco,Little Harbour,coastal,26.325994,-76.996839,M,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0307,2938544,Y,,Abaco,Little Harbour,coastal,26.325994,-76.996839,M,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0308,2938543,Y,,Abaco,Little Harbour,coastal,26.325994,-76.996839,M,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
