RGR,FieldTag,Specimen,Date,Island,Locale,Habitat,lat,long,Sex,Mass,notes,lamellae hind internal,lamellae hind external,lamellae front internal,lamellae front external,lamellae counter,lamellae hind internal replicate,lamellae front internal replicate,lamellae counter replicate,ventral scale count,dorsal scale count,SVL,Finger,Toe,Jaw,Head,Radius,Femur,Tibia,Meta,SVL_1,SVL_2,SVL_3,R_finger,L_finger,R_toe,L_toe,r_jaw,l_jaw,head,r_radius,l_radius,r_femur,r_tibia,r_meta,l_femur,l_tibia,l_meta
RGR0272,2938580,Y,,Abaco,Cherokee,pineland/2nd growth,26.321921,-77.042545,M,2.6,,27,,18,,Reem/RGR,,,,,,45.03433333,6.656,9.772,12.788,13.231,5.658,10.923,8.983,6.154,45.101,45.16,44.842,6.397,6.656,9.772,9.447,12.788,12.212,13.231,5.615,5.658,9.085,8.866,6.034,10.923,8.983,6.154
RGR0273,2938579,Y,,Abaco,Cherokee,pineland/2nd growth,26.321921,-77.042545,M,1.5,no tail,28,,17,,Reem/RGR,,,,,,39.024,5.623,8.981,11.08,11.645,5.39,9.23,8.719,5.98,39.356,39.051,38.665,5.564,5.623,8.506,8.981,10.601,11.08,11.645,5.129,5.39,9.087,8.04,5.738,9.23,8.719,5.98
RGR0274,2938578,Y,,Abaco,Cherokee,pineland/2nd growth,26.321921,-77.042545,M,1.4,,26,,17,,Reem/RGR,,,,,,39.32633333,5.266,8.391,10.523,11.49,5.573,9.462,8.172,5.375,39.386,39.42,39.173,5.079,5.266,8.001,8.391,10.523,10.292,11.49,5.573,5.418,8.003,7.054,5.375,9.462,8.172,4.841
RGR0275,2938577,Y,,Abaco,Cherokee,pineland/2nd growth,26.321921,-77.042545,F,1.3,,25,,15,,Reem/RGR,,,,,,34.89733333,4.64,6.771,10.052,10.534,4.885,8.528,6.748,4.775,34.885,34.946,34.861,4.64,4.494,6.771,6.522,10.03,10.052,10.534,4.885,4.662,7.846,6.748,4.555,8.528,6.7,4.775
RGR0276,2938576,Y,,Abaco,Cherokee,pineland/2nd growth,26.321921,-77.042545,F,1.0,,26,,15,,Reem/RGR,,,,,,35.43466667,4.075,7.168,9.489,10.656,4.61,8.167,6.872,5.137,35.347,35.431,35.526,3.769,4.075,6.17,7.168,9.489,9.478,10.656,4.61,4.517,7.607,6.872,5.137,8.167,6.629,5.009
RGR0277,2938575,Y,,Abaco,Cherokee,pineland/2nd growth,26.321921,-77.042545,M,1.0,juvenile exclude,28,,15,,Reem/RGR,,,,,,34.85533333,4.51,7.422,10.259,10.31,4.217,7.801,6.608,4.689,34.794,34.884,34.888,4.51,4.194,5.268,7.422,10.133,10.259,10.31,4.217,4.16,7.801,6.608,4.689,7.545,6.456,4.293
RGR0278,2938574,Y,,Abaco,Cherokee,pineland/2nd growth,26.321921,-77.042545,F,0.8,,27,,15,,Reem/RGR,,,,,,30.53066667,4.117,6.434,9.014,9.012,4.588,7.211,6.799,4.852,30.551,30.653,30.388,4.117,,5.852,6.434,9.014,8.267,9.012,4.485,4.588,7.211,6.355,4.664,7.195,6.799,4.852
RGR0279,2938573,Y,,Abaco,Cherokee,pineland/2nd growth,26.321921,-77.042545,M,1.6,,30,,17,,Reem/RGR,,,,,,38.79666667,5.341,8.448,10,10.24,5.926,9.477,8.563,5.95,38.766,38.898,38.726,5.341,5.214,8.448,8.133,10,9.589,10.24,5.796,5.926,9.245,8.121,5.95,9.477,8.563,5.559
RGR0280,2938572,Y,,Abaco,Cherokee,pineland/2nd growth,26.321921,-77.042545,M,0.9,juvenile exclude,27,,16,,Reem/RGR,,,,,,35.08833333,4.552,7.186,10.14,10.679,5.358,8.094,7.186,5.03,35.087,34.875,35.303,,4.552,7.149,7.186,10.14,10.083,10.679,5.358,4.802,8.094,7.186,4.781,7.811,7.143,5.03
RGR0281,2938571,Y,,Abaco,Cherokee,pineland/2nd growth,26.321921,-77.042545,M,1.8,,28,,17,,Reem/RGR,,,,,,41.02166667,5.665,8.415,11.898,12.193,5.649,9.587,8.348,5.996,41.093,41.135,40.837,5.665,5,8.415,8.24,11.898,10.661,12.193,5.649,5.596,9.257,8.308,5.996,9.587,8.348,5.766
RGR0282,2938570,Y,,Abaco,Cherokee,pineland/2nd growth,26.321921,-77.042545,M,2.2,,28,,16,,Reem/RGR,,,,,,43.439,5.858,8.799,12.401,12.545,6.323,10.373,9.116,5.82,43.453,43.193,43.671,5.43,5.858,8.256,8.799,12.401,11.556,12.545,6.323,6.278,10.373,9.077,5.676,9.982,9.116,5.82
RGR0283,2938569,Y,,Abaco,Cherokee,pineland/2nd growth,26.321921,-77.042545,F,0.6,dead,28,,17,,Reem/RGR,,,,,,29.38233333,3.93,6.734,8.883,9.667,4.736,7.368,6.344,3.59,29.452,29.272,29.423,3.93,3.887,6.734,6.033,8.883,8.835,9.667,4.736,4.552,6.02,5.263,2.996,7.368,6.344,3.59
RGR0284,2938568,Y,,Abaco,Cherokee,pineland/2nd growth,26.321921,-77.042545,F,0.9,,28,,15,,Reem/RGR,,,,,,32.67033333,4.696,6.61,9.334,10.287,5.026,7.385,6.656,4.781,32.759,32.512,32.74,4.476,4.696,6.608,6.61,9.334,9.042,10.287,4.085,5.026,6.984,6.076,4.617,7.385,6.656,4.781
RGR0285,2938567,Y,,Abaco,Cherokee,pineland/2nd growth,26.321921,-77.042545,F,0.9,,25,,NA,,Reem/RGR,,,,,,32.00166667,4.115,6.133,9.615,9.9,4.849,7.318,6.774,4.844,32.056,32.101,31.848,4.105,4.115,6.133,5.911,9.615,9.487,9.9,4.61,4.849,7.318,6.774,4.844,7.202,6.329,4.632
RGR0286,2938566,Y,,Abaco,Cherokee,pineland/2nd growth,26.321921,-77.042545,M,1.1,,27,,18,,Reem/RGR,,,,,,36.124,4.857,7.428,10.502,10.046,5.664,9.008,7.845,5.562,36.145,36.318,35.909,4.765,4.857,7.428,7.068,10.502,10.324,10.046,5.664,5.035,9.008,7.632,5.562,8.431,7.845,5.129
RGR0287,2938565,Y,,Abaco,Cherokee,pineland/2nd growth,26.321921,-77.042545,M,1.9,,29,,17,,Reem/RGR,,,,,,42.047,6.839,8.033,11.751,12.378,6.055,10.058,8.826,6.072,41.994,42.092,42.055,5.339,6.839,7.884,8.033,11.751,11.123,12.378,5.963,6.055,10.058,8.537,6.072,9.728,8.826,5.861
RGR0288,2938564,Y,,Abaco,Cherokee,pineland/2nd growth,26.321921,-77.042545,F,1.1,,27,,17,,Reem/RGR,,,,,,33.14133333,5.176,7.319,9.227,9.929,4.347,7.643,6.983,4.481,33.242,32.969,33.213,4.653,5.176,6.723,7.319,9.227,8.956,9.929,4.347,4.291,7.643,6.983,4.481,6.981,6.915,4.446
RGR0289,2938563,Y,,Abaco,Little Harbour,coppice,26.317050,-77.003854,M,3.8,,31,,17,,Reem/RGR,,,,,,49.377,7.248,9.912,13.706,13.903,6.462,11.417,10.48,6.655,49.272,49.299,49.56,7.248,6.791,9.912,9.03,13.647,13.706,13.903,6.462,5.619,11.417,9.309,6.554,10.894,10.48,6.655
RGR0290,2938562,Y,,Abaco,Little Harbour,coppice,26.317050,-77.003854,F,1.2,dewlap photo taken!,28,,16,,Reem/RGR,,,,,,35.801,5.622,7.696,10.254,10.498,4.924,8.34,7.324,5.357,35.942,35.826,35.635,3.866,5.622,7.696,7.348,10.254,9.392,10.498,4.647,4.924,8.34,7.289,5.357,8.19,7.324,5.124
RGR0291,2938561,Y,,Abaco,Little Harbour,coppice,26.317050,-77.003854,F,1.1,,28,,16,,Reem/RGR,,,,,,35.46566667,4.827,7.067,10.156,10.488,5.005,7.865,7.139,5.649,35.491,35.484,35.422,4.827,4.723,6.331,7.067,10.156,9.676,10.488,5.005,4.934,7.865,7.004,5.03,7.64,7.139,5.649
RGR0292,2938560,Y,,Abaco,Little Harbour,coppice,26.317050,-77.003854,F,1.5,,29,,17,,Reem/RGR,,,,,,40.19333333,5.668,8.215,11.433,11.794,5.718,8.645,7.698,5.54,40.116,40.197,40.267,5.668,5.404,6.905,8.215,11.314,11.433,11.794,5.718,5.711,8.645,7.698,5.54,8.611,7.535,5.41
RGR0293,2938559,Y,,Abaco,Little Harbour,coppice,26.317050,-77.003854,F,1.5,,27,,18,,Reem/RGR,,,,,,37.757,5.438,7.58,10.172,10.747,5.093,7.881,7.325,5.178,37.846,37.777,37.648,4.632,5.438,,7.58,10.172,9.621,10.747,3.866,5.093,7.881,7.325,5.178,7.801,6.31,
