island,habitat,noutliers,HZ,pvalue
Abaco,coastal,0,1.0754806544535813,0.004295174284004388
Abaco,coppice,0,1.0787590080001737,0.0020533444604980966
Abaco,mangrove,0,1.073841683925782,0.0018636195279276846
Bimini,coastal,0,0.9663472370242847,0.01942821258314098
Bimini,coppice,0,0.8697451931629224,0.03579125730909216
Bimini,mangrove,0,1.1755568681985347,1.4585607639172604e-4
Cayman Brac,coastal,0,0.6474152067135882,0.5288668784595223
Cayman Brac,coppice,0,0.74464021771837,0.25657394150390067
Cayman Brac,mangrove,0,0.6513447233911622,0.5573084969429821
Eleuthera,coastal,0,1.7205661087190152,1.3876195747997144e-9
Eleuthera,coppice,0,1.4495831375520458,7.824225579655675e-7
Eleuthera,mangrove,0,0.5892105670263669,0.5675674416058144
Little Cayman,coastal,0,0.6238999649958723,0.6608938595630522
Little Cayman,coppice,0,0.712175236537405,0.2422133146362757
Little Cayman,mangrove,0,0.8368782474379335,0.0703142259375289
Long Island,coastal,0,0.8617959862380359,0.08936614991618108
Long Island,coppice,0,0.9785389978866408,0.005102925229112154
Long Island,mangrove,0,0.9136539137968858,0.017675055836395503
North Andros,coastal,0,0.7381822202460717,0.1260423017839707
North Andros,coppice,0,0.6456240952908895,0.35814290339568144
North Andros,mangrove,0,0.8364412439919051,0.03603324854191947
Ragged Island,coastal,0,0.7537785907122109,0.23232779741149256
Ragged Island,coppice,0,0.7713111674849544,0.1557141818436122
Ragged Island,mangrove,0,0.60333917033396,0.7342333718561302
South Andros,coastal,0,0.7401232319891422,0.140933040742249
South Andros,coppice,0,0.6381347104944475,0.3838701181639471
South Andros,mangrove,0,0.6846571989636104,0.3222192348776486
