island,variable,W,pvalue,padj
Abaco,PC1,0.9621583438509702,0.012844675092359335,0.0599418170976769
Abaco,PC2,0.9599570415664942,0.009254688881989168,0.05182625773913934
Abaco,PC3,0.9824937260264934,0.2963164107032923,0.6455231117261517
Abaco,PC4,0.9829522744870377,0.3168121700784486,0.6455231117261517
Bimini,PC1,0.9180320732841059,8.952694517771964e-4,0.01253377232488075
Bimini,PC2,0.9851918869046751,0.710357932378289,0.7956008842636838
Bimini,PC3,0.9755272219614481,0.29971244615424675,0.6455231117261517
Bimini,PC4,0.9771516215771281,0.3528536475282739,0.6455231117261517
Cayman Brac,PC1,0.986245495190381,0.8235577789078083,0.886908377285332
Cayman Brac,PC2,0.989354326504692,0.9299496855240617,0.9299496855240617
Cayman Brac,PC3,0.9341328562294136,0.007948444894226529,0.05182625773913934
Cayman Brac,PC4,0.9809478252188818,0.5925719679952739,0.7213919610377247
Eleuthera,PC1,0.9359556017015914,0.005763564799631384,0.05182625773913934
Eleuthera,PC2,0.9717274401585477,0.21985026183680428,0.6455231117261517
Eleuthera,PC3,0.9807908088066871,0.5224054681558926,0.6965406242078568
Eleuthera,PC4,0.9769486137631522,0.368870349557801,0.6455231117261517
Little Cayman,PC1,0.9554876303652476,0.08214000461071444,0.30940743180384656
Little Cayman,PC2,0.9816121508659311,0.6853987576785524,0.7956008842636838
Little Cayman,PC3,0.8910888892734989,5.060505498913139e-4,0.01253377232488075
Little Cayman,PC4,0.9765159397237835,0.48579623462572996,0.6965406242078568
Long Island,PC1,0.9777462549040202,0.42234897175879416,0.6956336005438962
Long Island,PC2,0.9800715407679057,0.5160651081949298,0.6965406242078568
Long Island,PC3,0.9810880539047885,0.5605316432454995,0.7134039095851812
Long Island,PC4,0.975929774866122,0.3580038294591459,0.6455231117261517
North Andros,PC1,0.9361834192984526,0.08840212337252759,0.30940743180384656
North Andros,PC2,0.9657987157546827,0.4735084167875947,0.6965406242078568
North Andros,PC3,0.98211694504458,0.8976945935091201,0.9299496855240617
North Andros,PC4,0.9592606433818743,0.3348313876895242,0.6455231117261517
