island,name,from,to,pvalue, 
Abaco,PC1,coastal,coppice,0.7523743063406697,
Abaco,PC1,coastal,mangrove,0.9816991218935094,
Abaco,PC1,coppice,mangrove,0.7137295072648742,
Abaco,PC2,coastal,coppice,0.951075609941442,
Abaco,PC2,coastal,mangrove,1.2815121534393015e-5,***
Abaco,PC2,coppice,mangrove,3.224688389602548e-4,***
Abaco,PC3,coastal,coppice,0.005079354518885415,**
Abaco,PC3,coastal,mangrove,1.9892453698266976e-5,***
Abaco,PC3,coppice,mangrove,0.3632742200464588,
Abaco,PC4,coastal,coppice,0.6724122593559584,
Abaco,PC4,coastal,mangrove,0.9155011038480834,
Abaco,PC4,coppice,mangrove,0.520414021552159,
Bimini,PC1,coastal,coppice,0.1523470204193813,
Bimini,PC1,coastal,mangrove,0.04109003543301881,*
Bimini,PC1,coppice,mangrove,0.9047593269589934,
Bimini,PC2,coastal,coppice,0.5288318274393528,
Bimini,PC2,coastal,mangrove,0.024551758020573522,*
Bimini,PC2,coppice,mangrove,0.43166950583523733,
Bimini,PC3,coastal,coppice,0.0012953871803701444,**
Bimini,PC3,coastal,mangrove,0.7924271401739454,
Bimini,PC3,coppice,mangrove,0.00141559705771932,**
Bimini,PC4,coastal,coppice,0.9315943428581571,
Bimini,PC4,coastal,mangrove,0.9839608892412013,
Bimini,PC4,coppice,mangrove,0.9857899618466845,
Cayman Brac,PC1,coastal,coppice,0.012260482747265655,*
Cayman Brac,PC1,coastal,mangrove,0.9999844204706918,
Cayman Brac,PC1,coppice,mangrove,0.009267097309056727,**
Cayman Brac,PC2,coastal,coppice,0.15660454891711795,
Cayman Brac,PC2,coastal,mangrove,0.01952935604604522,*
Cayman Brac,PC2,coppice,mangrove,0.6301070388953558,
Cayman Brac,PC3,coastal,coppice,0.09918633713037162,
Cayman Brac,PC3,coastal,mangrove,7.567948123066159e-6,***
Cayman Brac,PC3,coppice,mangrove,0.01401213675371249,*
Cayman Brac,PC4,coastal,coppice,0.07081568496802249,
Cayman Brac,PC4,coastal,mangrove,0.44645523999720116,
Cayman Brac,PC4,coppice,mangrove,0.5720625168552848,
Eleuthera,PC1,coastal,coppice,0.9046735901797784,
Eleuthera,PC1,coastal,mangrove,0.9907384431500579,
Eleuthera,PC1,coppice,mangrove,0.893135207534492,
Eleuthera,PC2,coastal,coppice,0.37291256360800595,
Eleuthera,PC2,coastal,mangrove,0.03648219115441409,*
Eleuthera,PC2,coppice,mangrove,0.2901531367272152,
Eleuthera,PC3,coastal,coppice,0.06687024921089757,
Eleuthera,PC3,coastal,mangrove,0.3005743659902642,
Eleuthera,PC3,coppice,mangrove,0.9846438744289263,
Eleuthera,PC4,coastal,coppice,0.8906589034934967,
Eleuthera,PC4,coastal,mangrove,0.15014326784705467,
Eleuthera,PC4,coppice,mangrove,0.06479086895967434,
Little Cayman,PC1,coastal,coppice,0.015082682273208414,*
Little Cayman,PC1,coastal,mangrove,0.6234313225600628,
Little Cayman,PC1,coppice,mangrove,0.1391525703539429,
Little Cayman,PC2,coastal,coppice,0.7092251970195492,
Little Cayman,PC2,coastal,mangrove,0.0015542303446535177,**
Little Cayman,PC2,coppice,mangrove,2.4261450052220912e-4,***
Little Cayman,PC3,coastal,coppice,0.022695511453540207,*
Little Cayman,PC3,coastal,mangrove,3.162742233520088e-5,***
Little Cayman,PC3,coppice,mangrove,0.33450774470862066,
Little Cayman,PC4,coastal,coppice,0.09092093520180977,
Little Cayman,PC4,coastal,mangrove,0.8319803874861362,
Little Cayman,PC4,coppice,mangrove,0.27174289137693,
Long Island,PC1,coastal,coppice,0.006537402154086158,**
Long Island,PC1,coastal,mangrove,0.9816489351539298,
Long Island,PC1,coppice,mangrove,0.014840498915520639,*
Long Island,PC2,coastal,coppice,0.9999993649310952,
Long Island,PC2,coastal,mangrove,0.14321045650361253,
Long Island,PC2,coppice,mangrove,0.21968242065775812,
Long Island,PC3,coastal,coppice,0.06584375884815019,
Long Island,PC3,coastal,mangrove,0.018707898580652138,*
Long Island,PC3,coppice,mangrove,0.8878373353801754,
Long Island,PC4,coastal,coppice,0.9308314223684603,
Long Island,PC4,coastal,mangrove,0.02455886578109545,*
Long Island,PC4,coppice,mangrove,0.11426049013758233,
North Andros,PC1,coastal,coppice,0.9714490580172309,
North Andros,PC1,coastal,mangrove,0.7908748472825231,
North Andros,PC1,coppice,mangrove,0.9084267191667659,
North Andros,PC2,coastal,coppice,0.3096927140170942,
North Andros,PC2,coastal,mangrove,0.09684112235159403,
North Andros,PC2,coppice,mangrove,0.8374767261209929,
North Andros,PC3,coastal,coppice,0.13307195676521477,
North Andros,PC3,coastal,mangrove,0.7892027239036116,
North Andros,PC3,coppice,mangrove,0.38726721023478927,
North Andros,PC4,coastal,coppice,0.9780661107614512,
North Andros,PC4,coastal,mangrove,0.8838669799634998,
North Andros,PC4,coppice,mangrove,0.7756876891348785,
Ragged Island,PC1,coastal,coppice,0.6317326456377934,
Ragged Island,PC1,coastal,mangrove,0.9506743516864025,
Ragged Island,PC1,coppice,mangrove,0.45867024051549576,
Ragged Island,PC2,coastal,coppice,0.5297104269414592,
Ragged Island,PC2,coastal,mangrove,0.28584369797186815,
Ragged Island,PC2,coppice,mangrove,0.03297328076708461,*
Ragged Island,PC3,coastal,coppice,0.8829500411218216,
Ragged Island,PC3,coastal,mangrove,0.45881696087654866,
Ragged Island,PC3,coppice,mangrove,0.7823658917277716,
Ragged Island,PC4,coastal,coppice,0.5708655652016241,
Ragged Island,PC4,coastal,mangrove,0.7892004263897536,
Ragged Island,PC4,coppice,mangrove,0.236251907877163,
South Andros,PC1,coastal,coppice,0.3168804942099772,
South Andros,PC1,coastal,mangrove,0.8408877374016677,
South Andros,PC1,coppice,mangrove,0.6002861061665895,
South Andros,PC2,coastal,coppice,0.8107828970084954,
South Andros,PC2,coastal,mangrove,0.3991455870149374,
South Andros,PC2,coppice,mangrove,0.1391110727990723,
South Andros,PC3,coastal,coppice,0.13072200696742675,
South Andros,PC3,coastal,mangrove,0.8431055098343336,
South Andros,PC3,coppice,mangrove,0.029044158303401568,*
South Andros,PC4,coastal,coppice,0.0022335573702154665,**
South Andros,PC4,coastal,mangrove,0.05078710624913385,
South Andros,PC4,coppice,mangrove,0.43348919124569174,
