island,variable,i,j,pvalue
Cayman Brac,PC1,coastal,coppice,0.02243777930692248
Cayman Brac,PC1,coastal,mangrove,0.8436645516279615
Cayman Brac,PC1,coppice,mangrove,0.0032431990128317656
Eleuthera,PC2,coastal,coppice,0.2585017942746345
Eleuthera,PC2,coastal,mangrove,0.0026288466826402956
Eleuthera,PC2,coppice,mangrove,0.05030751194311445
Little Cayman,PC2,coastal,coppice,0.7637284692516962
Little Cayman,PC2,coastal,mangrove,0.001504206694758925
Little Cayman,PC2,coppice,mangrove,4.360325764896089e-7
North Andros,PC2,coastal,coppice,0.005020457302706283
North Andros,PC2,coastal,mangrove,0.32943413746281125
North Andros,PC2,coppice,mangrove,0.0038710739659110205
